,position
803,['CB']
804,"['CB', 'CDM']"
805,['ST']
806,['CB']
807,['ST']
808,['CM']
809,"['CM', 'CDM', 'CAM']"
810,"['RM', 'LM', 'ST']"
811,['GK']
812,"['CF', 'ST', 'LM']"
813,"['RB', 'LB']"
814,['RB']
815,"['RM', 'LM']"
816,"['RM', 'LM']"
817,"['LM', 'CAM', 'CM']"
818,"['CM', 'CDM']"
819,"['CB', 'CDM']"
820,['LB']
821,"['CAM', 'RM', 'LM', 'CM']"
822,"['RM', 'LM']"
823,"['CDM', 'CM', 'CAM']"
824,"['CAM', 'CM']"
825,['CB']
826,['CB']
827,"['CAM', 'RW', 'CM', 'RM']"
828,['LB']
829,['ST']
830,['ST']
831,['RB']
832,['CDM']
833,"['RB', 'CDM']"
834,"['LWB', 'LB', 'LM']"
835,['GK']
836,['ST']
837,"['CM', 'CDM']"
838,['CB']
839,['RB']
840,"['LW', 'RW', 'ST']"
841,"['CDM', 'CM']"
842,"['RW', 'CM', 'LW']"
843,"['CAM', 'CM', 'LM', 'CF']"
844,['CB']
845,"['CDM', 'CB']"
846,['RM']
847,"['CM', 'CAM']"
848,"['RM', 'LM', 'RW', 'CAM']"
849,"['RB', 'RM']"
850,['CB']
851,"['LB', 'RB']"
852,['ST']
853,['CB']
854,"['RM', 'LM', 'CAM']"
855,"['RM', 'LM']"
856,['CB']
857,['GK']
858,['ST']
859,"['LM', 'ST', 'LW']"
860,['CB']
861,['LB']
862,['ST']
863,"['RB', 'RWB', 'RM']"
864,"['LM', 'RM']"
865,['RB']
866,"['CB', 'RB']"
867,"['CB', 'RB']"
868,['CB']
869,['ST']
870,['GK']
871,['CB']
872,['CB']
873,"['ST', 'LM']"
874,"['CM', 'RM']"
875,"['RB', 'LB']"
876,['CM']
877,"['CM', 'LM', 'CDM']"
878,['CB']
879,['LM']
880,['GK']
881,"['ST', 'CAM', 'RM']"
882,['GK']
883,"['CM', 'CDM', 'CAM']"
884,['CAM']
885,"['ST', 'LM', 'CAM']"
886,['CB']
887,"['RB', 'RM']"
888,"['ST', 'LM']"
889,"['LM', 'LW']"
890,['CB']
891,"['LW', 'RW', 'ST']"
892,"['CM', 'CDM']"
893,['CB']
894,"['RB', 'CB', 'LB']"
895,['CB']
896,['RB']
897,['CM']
898,"['RB', 'RM']"
899,"['CDM', 'CM']"
900,['CB']
901,"['LB', 'RB']"
902,['ST']
903,['GK']
904,['RB']
905,['GK']
906,['ST']
907,"['CDM', 'CM', 'CB']"
908,"['CDM', 'CM']"
909,"['CM', 'CDM', 'CAM']"
910,"['CB', 'LB']"
911,"['LM', 'ST']"
912,['CAM']
913,['ST']
914,"['CDM', 'CM']"
915,['ST']
916,['GK']
917,"['CAM', 'ST']"
918,"['LW', 'RW', 'ST']"
919,"['CM', 'CDM']"
920,"['CM', 'RM']"
921,['ST']
922,['CM']
923,"['CB', 'CDM']"
924,['ST']
925,['RB']
926,"['LB', 'RB']"
927,"['CAM', 'ST']"
928,"['RM', 'LM', 'CAM']"
929,['RW']
930,"['CM', 'CDM']"
931,"['ST', 'LM', 'CAM']"
932,['ST']
933,"['RB', 'RM']"
934,"['CDM', 'CM']"
935,"['RM', 'LM', 'RW', 'CAM']"
936,"['RM', 'CM']"
937,"['ST', 'RM']"
938,"['ST', 'RM']"
939,"['ST', 'LW', 'LM', 'CAM']"
940,"['LB', 'LWB']"
941,['CB']
942,['GK']
943,['ST']
944,['LB']
