,Weight
2077,76kg
2078,68kg
2079,88kg
2080,80kg
2081,68kg
2082,85kg
2083,65kg
2084,75kg
2085,68kg
2086,80kg
2087,72kg
2088,73kg
2089,75kg
2090,78kg
2091,78kg
2092,61kg
2093,73kg
2094,85kg
2095,73kg
2096,72kg
2097,71kg
2098,76kg
2099,77kg
2100,74kg
2101,68kg
2102,70kg
2103,79kg
2104,74kg
2105,79kg
2106,77kg
2107,74kg
2108,78kg
2109,82kg
2110,76kg
2111,78kg
2112,74kg
2113,67kg
2114,70kg
2115,78kg
2116,77kg
2117,77kg
2118,80kg
2119,83kg
2120,86kg
2121,82kg
2122,81kg
2123,83kg
2124,86kg
2125,85kg
2126,76kg
2127,80kg
2128,74kg
2129,84kg
2130,73kg
2131,79kg
2132,77kg
2133,71kg
2134,97kg
2135,63kg
2136,72kg
2137,70kg
